,islemci,ekran_karti,ram,depolama,fiyat,satici,url
53,AMD Ryzen 5 5500,NVIDIA RTX 3050,16 GB,500 GB,16827,itopya.com,https://itopya.com/nvidia-studio-2_h20078
54,Intel Core I5 12400F,NVIDIA RTX 3070 TI,16 GB,500 GB,26917,itopya.com,https://itopya.com/nvidia-studio-1_h20077
55,Intel Core I3 12100F,NVIDIA GTX 1660,16 GB,500 GB,15677,itopya.com,https://itopya.com/omega-s_h19894
56,Intel Core I5 12400F,AMD RX 6800,16 GB,500 GB,22649,itopya.com,https://itopya.com/alpha-one_h19837
57,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,21973,itopya.com,https://itopya.com/alpha-rules_h19746
58,AMD Ryzen 5 4500,NVIDIA GTX 1650,16 GB,500 GB,10947,itopya.com,https://itopya.com/dh-lion_h19719
59,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,480 GB,14483,itopya.com,https://itopya.com/jahrein-nova_h18394
60,AMD Ryzen 5 5500,NVIDIA GTX 1650,16 GB,500 GB,11976,itopya.com,https://itopya.com/adal-oberon_h18369
61,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,16515,itopya.com,https://itopya.com/jahrein-deimos_h18365
62,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,23036,itopya.com,https://itopya.com/jahrein-titan_h18363
63,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,20731,itopya.com,https://itopya.com/dh-tiger_h18264
64,Intel Core I5 12400F,NVIDIA RTX 3060 TI,16 GB,500 GB,23223,itopya.com,https://itopya.com/teknopanda-karakiz-3_h18185
65,Intel Core I5 12400F,NVIDIA RTX 3070,16 GB,500 GB,23826,itopya.com,https://itopya.com/adal-creeper_h18172
66,Intel Core I5 12400F,NVIDIA RTX 3070,16 GB,480 GB,25746,itopya.com,https://itopya.com/jrokez-pro_h17121
67,Intel Core I5 12400F,NVIDIA RTX 3070 TI,16 GB,480 GB,28773,itopya.com,https://itopya.com/hype-duo_h17035
68,Intel Core I9 12900K,NVIDIA RTX 4080,32 GB,1 TB,77119,itopya.com,https://itopya.com/engineer-master_h16785
69,Intel Core I9 12900K,NVIDIA RTX 3090,16 GB,1 TB,77580,itopya.com,https://itopya.com/render-ultra_h16783
70,Intel Core I3 10105F,NVIDIA GTX 1050 TI,16 GB,500 GB,11626,itopya.com,https://itopya.com/bbl-rock_h16704
71,Intel Core I5 12400F,AMD RX 6650-XT,16 GB,500 GB,24291,itopya.com,https://itopya.com/bbl-focus_h16699
72,Intel Core I3 12100F,AMD RX 6500-XT,16 GB,500 GB,12390,itopya.com,https://itopya.com/efe-uygac-pro_h16695
73,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,27416,itopya.com,https://itopya.com/bbl-high_h16478
74,AMD Ryzen 5 5500,AMD RX 6500-XT,16 GB,500 GB,12519,itopya.com,https://itopya.com/efe-uygac-shelby_h16454
75,AMD Ryzen 5 5500,NVIDIA GTX 1650,16 GB,500 GB,12863,itopya.com,https://itopya.com/dh-entry_h16444
76,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,512 GB,20712,itopya.com,https://itopya.com/vok-magic_h16442
77,AMD Ryzen 5 4500,AMD RX 580,16 GB,480 GB,11010,itopya.com,https://itopya.com/burak-gungor-pro_h16242
78,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,18083,itopya.com,https://itopya.com/burak-gungor-ultra_h16227
79,AMD Ryzen 5 5600,NVIDIA RTX 3060 TI,16 GB,500 GB,20448,itopya.com,https://itopya.com/teknopanda-karakiz-2_h14769
80,Intel Core I5 12400F,NVIDIA RTX 3060 TI,16 GB,500 GB,22863,itopya.com,https://itopya.com/hype-mega_h14761
81,AMD Ryzen 5 5600,AMD RX 6650-XT,16 GB,480 GB,21980,itopya.com,https://itopya.com/vesta-start_h14755
82,Intel Core I3 10105F,NVIDIA RTX 3050,16 GB,500 GB,16121,tebilon.com,https://www.tebilon.com/intel-10105f-zotac-rtx3050-twin-edge-gigabyte-h510m-h-ud-kingston-500gb-kingston-16gb/
83,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,480 GB,17421,tebilon.com,https://www.tebilon.com/intel-12400f-asus-dual-rtx3060-o12g-v2-h610m-k-wd-480gb-xpg-16gb-9/
84,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,480 GB,15942,tebilon.com,https://www.tebilon.com/intel-12400f-asus-dual-rtx3060-o12g-v2-h610m-k-wd-480gb-xpg-16gb/
85,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,480 GB,15567,tebilon.com,https://www.tebilon.com/amd-5500-asus-dual-rtx3060-o12g-v2-prime-b450m-a-ii-wd-480gb-xpg-16gb/
86,AMD Ryzen 5 7700X,NVIDIA RTX 4090,32 GB,1 TB,75118,tebilon.com,https://www.tebilon.com/amd-r7-7700x-zotac-rtx4090-gigabyte-b650m-ds3h-kingston-1tb-32gb/
87,AMD Ryzen 5 4500,AMD RX 6500-XT,16 GB,480 GB,8998,tebilon.com,https://www.tebilon.com/amd-r5-4500-msi-rx-6500-xt-mech-oc-a320m-pro-vh-wd-480gb-xpg-16gb/
88,AMD Ryzen 5 7600X,NVIDIA RTX 3070,16 GB,500 GB,33306,tebilon.com,https://www.tebilon.com/amd-7600x-msi-rtx-3070-ventus-oc-mag-b650m-mortar-wifi-msi-500gb-kingston-16gb/
89,AMD Ryzen 5 7600X,NVIDIA RTX 3060,16 GB,500 GB,28672,tebilon.com,https://www.tebilon.com/amd-7600x-msi-rtx-3060-ventus-oc-mag-b650m-mortar-wifi-msi-500gb-kingston-16gb/
90,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,480 GB,16019,tebilon.com,https://www.tebilon.com/intel-12100f-rtx-3060-ventus-oc-pro-h610m-b-ddr4-wd-green-xpg-16gb/
91,Intel Core I5 12700F,NVIDIA RTX 3070,16 GB,500 GB,29126,tebilon.com,https://www.tebilon.com/intel-12700f-msi-rtx-3070-ventus-2x-oc-pro-b660m-a-wifi-ddr4-500gb-kingston-16gb/
92,Intel Core I5 12400F,NVIDIA RTX 3070,16 GB,500 GB,24873,tebilon.com,https://www.tebilon.com/intel-12400f-msi-rtx-3070-ventus-2x-oc-pro-b660m-p-ddr4-500gb-kingston-16gb/
93,AMD Ryzen 5 5600,NVIDIA RTX 3070,16 GB,500 GB,23632,tebilon.com,https://www.tebilon.com/amd-5600-msi-rtx-3070-ventus-2x-oc-b550m-pro-vdh-500gb-ssd-kingston-16gb/
94,Intel Core I3 12100F,NVIDIA RTX 3060 TI,16 GB,480 GB,21366,tebilon.com,https://www.tebilon.com/intel-12100f-asus-dual-rtx3060ti-h610m-k-wd-480gb-kingston-16gb/
95,Intel Core I5 12400F,AMD RX 6700-XT,16 GB,480 GB,21184,tebilon.com,https://www.tebilon.com/intel-12400f-asus-dual-rx6700xt-prime-h610m-k-wd-green-ssd-kingston-16gb/
96,Intel Core I5 12400F,AMD RX 6600,16 GB,480 GB,14685,tebilon.com,https://www.tebilon.com/intel-12400f-asus-dual-rx6600-prime-h610m-k-wd-green-ssd-xpg-16gb/
97,Intel Core I3 12100F,AMD RX 6600,16 GB,480 GB,13206,tebilon.com,https://www.tebilon.com/intel-12100f-asus-dual-rx6600-prime-h610m-k-wd-green-ssd-xpg-16gb/
98,AMD Ryzen 5 5600,AMD RX 6700-XT,16 GB,480 GB,18910,tebilon.com,https://www.tebilon.com/amd-5600-asus-dual-rx6700xt-12g-prime-b450m-a-ii-wd-green-xpg-16gb/
99,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,480 GB,14497,tebilon.com,https://www.tebilon.com/amd-5500-msi-rtx3060-ventus-12g-oc-a520m-a-pro-wd-green-ssd-xpg-16gb/
100,AMD Ryzen 3 3200G,-,8 GB,240 GB,5209,tebilon.com,https://www.tebilon.com/amd-ryzen-3-3200g-msi-a320m-a-pro-wd-240gb-ssd-kingston-8gb-ram/
101,AMD Ryzen 5 7700X,NVIDIA RTX 4080,32 GB,1 TB,67204,tebilon.com,https://www.tebilon.com/amd-7700x-gigabyte-rtx-4080-b650-aorus-elite-ax-kingston-1tb-kington/
102,AMD Ryzen 5 5500,AMD RX 6600,16 GB,480 GB,11783,tebilon.com,https://www.tebilon.com/amd-5500-asus-dual-rx-6600-asus-prime-anakart-wd-green-ssd-16gb-ram/
103,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,480 GB,20014,tebilon.com,https://www.tebilon.com/intel-12100f-asus-tuf-3060-o12g-h610m-k-d4-wd-green-ssd-16gb-ram/
