,islemci,ekran_karti,ram,depolama,fiyat,satici,url
133,AMD Ryzen 5 5700X,NVIDIA RTX 3060,16 GB,1 TB,22204,tebilon.com,https://www.tebilon.com/amd-r7-5700x-zotac-rtx3060-twin-edge-b550m-a-pro-kingston-1tb-kingston-16gb/
134,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,22052,tebilon.com,https://www.tebilon.com/amd-r5-5600-msi-rtx-3060-ventus-2x-12g-oc-b450m-a-pro-max-msi-500gb-crucial-16gb/
135,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,17070,tebilon.com,https://www.tebilon.com/amd-5600-zotac-rtx-3060-twin-edge-msi-b450m-a-pro-max-wd-500gb-xpg-16gb/
136,Intel Core I5 12400F,NVIDIA RTX 3050,16 GB,500 GB,20080,tebilon.com,https://www.tebilon.com/intel-12400f-zotac-rtx3050-twin-gigabyte-h610m-h-xpg-512gb-xpg-16gb/
137,AMD Ryzen 5 5500,NVIDIA RTX 3050,16 GB,500 GB,16439,tebilon.com,https://www.tebilon.com/amd-r5-5500-msi-rtx-3050-gaming-x-pro-h610m-b-ddr4-wd-500gb-crucial-16gb/
138,Intel Core I3 12100F,NVIDIA RTX 3060,16 GB,500 GB,16505,tebilon.com,https://www.tebilon.com/12100f-zotac-rtx3060-twin-edge-gigabyte-h610m-h-wd-500gb-crucial-16gb/
139,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,22920,tebilon.com,https://www.tebilon.com/intel-12400f-msi-rtx3060-gaming-x-h610m-g-ddr4-msi-500gb-crucial-16gb/
140,AMD Ryzen 3 3200G,-,8 GB,240 GB,5757,tebilon.com,https://www.tebilon.com/amd-r3-3200g-apu-msi-a320m-a-pro-wd-240gb-crucial-8gb-ram/
141,Intel Core I5 10400F,NVIDIA RTX 3050,16 GB,500 GB,17202,tebilon.com,https://www.tebilon.com/intel-10400f-msi-rtx3050-gaming-x-8g-b460m-a-pro-kingston-500gb-crucial-16gb/
142,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,20675,tebilon.com,https://www.tebilon.com/12400f-zotac-rtx3060-twin-edge-gigabyte-h610m-h-ddr4-kingston-500gb-16gb/
143,Intel Core I5 12400F,NVIDIA RTX 3050,16 GB,500 GB,21367,tebilon.com,https://www.tebilon.com/12400f-gigabyte-rtx3050-gaming-oc-h610m-h-ddr4-wd-500gb-crucial-16gb/
144,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,500 GB,18800,tebilon.com,https://www.tebilon.com/intel-12100f-gigabyte-rtx3050-gaming-oc-gigabyte-h610m-h-ddr4-wd-500gb-crucial-16gb/
145,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,16075,tebilon.com,https://www.tebilon.com/amd-r5-5500-zotac-rtx-3060-twin-edge-gigabyte-b450m-s2h-wd-500gb-crucial-16gb/
146,AMD Ryzen 5 5500,NVIDIA RTX 3060,16 GB,500 GB,16770,tebilon.com,https://www.tebilon.com/amd-r5-5500-zotac-rtx-3060-twin-edge-gigabyte-b450m-h-kingston-500gb-crucial-16gb/
147,Intel Core I3 10100F,NVIDIA RTX 3050,16 GB,500 GB,17599,tebilon.com,https://www.tebilon.com/intel-10100f-gigabyte-rtx-3050-gaming-oc-h510m-h-kingston-500gb-crucial-16gb/
148,AMD Ryzen 3 4100,NVIDIA RTX 3050,16 GB,500 GB,18546,tebilon.com,https://www.tebilon.com/amd-r3-4100-gtx-3050-gaming-oc-b450m-h-kingston-500gb-crucial-16gb/
